,Test,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(3, 'donovan')",11,0.7038177159139042,0.05935144369781462,-0.002781806630472285,2.819412666453352,0.9767924335770162,1.6791083729185627,1.679110677249523
1,"(2, 'shafter')",11,1.2689131025957971,0.0945178587576622,-0.1692073459297192,3.119792060635705,0.9630488511263026,1.7581697684578486,1.7662933110431305
2,"(4, 'elcajon')",11,0.5580590725452311,0.028853502438492776,-0.004905849288599722,1.0178057393026527,0.9899338241580528,1.0088516600300614,1.0088635880547243
3,"(3, 'donovan')",12,0.7207232768579129,0.060760212627820165,0.007022776280323617,2.8595622764659225,0.9765444466302304,1.6910094491395486,1.691024031900766
4,"(2, 'shafter')",12,1.422582888062225,0.10583234129136852,0.33270419343929675,3.856069435789652,0.9559920112764968,1.93529774336084,1.9636877134080288
5,"(4, 'elcajon')",12,0.6664741041630072,0.03445891866241633,-0.05526376690672724,1.2758878441726684,0.9873813725958702,1.128199344194078,1.129552054653821
6,"(3, 'donovan')",13,0.7411972148767382,0.06313183163982608,-0.0047969589695468825,3.019600813514459,0.975444113686471,1.737693241829266,1.7376998628976348
7,"(2, 'shafter')",13,1.4071254341613542,0.10376331445356192,-0.0918409144867002,3.4398240040448456,0.9602500507113824,1.8524009421480792,1.854676253162488
8,"(4, 'elcajon')",13,0.5875462688577586,0.030369588475838163,-0.004985789331896242,1.1414967171237431,0.9887344233803548,1.068396864010973,1.0684084973097805
9,"(2, 'donovan')",15,1.5134735257371317,0.1424839400604571,0.10061105697151436,6.657524987263868,0.9495256389286852,2.578255689895581,2.580218011576516
10,"(4, 'shafter')",15,0.5919859338661818,0.04769223718754168,-0.022346825630195858,1.1958443166361037,0.9831692046245424,1.093318314133792,1.0935466687051374
11,"(3, 'elcajon')",15,0.5187122027876471,0.032698075208565734,-0.02395035528832988,0.6313945595199053,0.9937946511169008,0.7942423685509785,0.7946033976267062
12,"(3, 'shafter')",17,0.5511544207473127,0.040265527791402585,-0.009737263265654177,2.6337268329834527,0.9690283782357588,1.6228468870129271,1.6228760990856488
13,"(2, 'elcajon')",17,0.4740136088051488,0.04210495708225625,-0.02171363678761296,0.5562022118813544,0.9913953549433812,0.7454734937332178,0.7457896565931673
14,"(4, 'donovan')",17,2.422219648093842,0.3179891819056785,-1.0170090909090908,11.808514757478008,0.8228662367497441,3.2824087598113483,3.436351954832044
15,"(2, 'donovan')",18,1.5744801053702933,0.15146311812474805,0.2502729090582531,7.61428126861043,0.9413151511142192,2.7480256075229628,2.75939871504834
16,"(4, 'shafter')",18,0.5955121930887161,0.048249876787738684,-0.039695554426686375,1.2127685860800017,0.9826512129454641,1.100542070544675,1.1012577291805954
17,"(3, 'elcajon')",18,0.5873098477292373,0.03682608684775585,-0.00047932264999861387,0.7829503541778045,0.9924133003525204,0.8848446894385489,0.884844819263697
18,"(3, 'shafter')",19,0.5619702446994451,0.0403868220396721,-0.020428212630138963,2.601558849563801,0.9699535502064668,1.612805486626499,1.6129348559578596
19,"(2, 'elcajon')",19,0.5228145749743399,0.04645015751425919,-0.035254511523747215,0.6857920582551088,0.9893758568770672,0.8273748713082425,0.8281256295122793
20,"(4, 'donovan')",19,1.9838751835535977,0.26228285769753445,-0.7272649045521291,7.398523368516886,0.8906917994092334,2.6209939197036816,2.7200226779416545
21,"(2, 'donovan')",20,1.563870821360153,0.15061373592477068,0.0926760895593871,6.867662022095307,0.947189744172362,2.6189832310496546,2.620622449361088
22,"(4, 'shafter')",20,0.5652440924367559,0.04582146793761234,-0.03929094651277895,1.2098968811390458,0.9826859862271696,1.099251155405886,1.0999531267917946
23,"(3, 'elcajon')",20,0.5303662928321292,0.03324386416302216,0.004022119774812981,0.6642835903843256,0.9935649597028426,0.8150260197912964,0.8150359442284283
24,"(3, 'shafter')",21,0.5626495205596314,0.04110532194624267,-0.015547565261900553,2.5149159193011466,0.9704255492080666,1.5857724277195562,1.5858486432510344
25,"(2, 'elcajon')",21,0.5366577489742634,0.047786486374279694,-0.0040383159268928505,0.7019676771036928,0.9891128310670338,0.837825381036029,0.8378351133150799
26,"(4, 'donovan')",21,2.4843803519061582,0.32614964388835416,-1.2340231671554251,12.003916134604106,0.8199351161147203,3.2374531591249007,3.46466681437106
