,Test,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(4, 'elcajon')",11,-0.014195313162090885,0.00023156173868107974,-0.08530831763771146,-0.545687679144983,0.0020815731659827863,-0.07155793702563208,-0.06956053473096048
1,"(3, 'donovan')",11,-0.11837088502624482,-0.004529036195513869,0.04142731730694232,-2.1053621715655275,0.011381621669604549,-0.1895599663427774,-0.18910946342954735
2,"(2, 'shafter')",11,-0.0044398830111731504,-0.00042844562568936095,-0.05084755814804398,9.975257859835773,-0.02139717044867173,0.6344115492602294,0.6364216893520087
3,"(4, 'elcajon')",12,-0.028633996766187494,-0.00039702206545583213,-0.02431690394408048,-0.5005518931992938,0.0020534000459887514,-0.0502745625786547,-0.05236226720433202
4,"(3, 'donovan')",12,-0.02515726741458924,-0.0012002767703668815,0.015026921556250988,-0.9259190400665459,0.0058338270625325475,-0.07642298289358251,-0.07580941334309799
5,"(2, 'shafter')",12,-0.12242121954079364,-0.004552983373092373,0.0728781437325565,-1.7919468834153416,0.004068698216086243,-0.11906229332409612,-0.11978123685156915
6,"(4, 'elcajon')",13,-0.07075581040123646,-0.004376898049938099,-0.12629100776628066,-1.153131949222573,0.003865739192580153,-0.12094152598909867,-0.11738968278756355
7,"(3, 'donovan')",13,-0.13109714385157645,-0.004390826129676256,0.11023925356040808,-2.892979125124576,0.012126100247967007,-0.2429775223756536,-0.23077076626430595
8,"(2, 'shafter')",13,-0.15171858257348791,-0.003108724091778564,-0.2386712538536524,-4.32537669921264,0.00656003181072562,-0.2570484493716183,-0.2647580861897083
9,"(4, 'shafter')",15,-0.025184572315053888,-0.002062589092379996,0.0012976667843992429,0.1610492607783094,-0.0021185080390156985,0.015304151474350824,0.015340084049499937
10,"(2, 'donovan')",15,-0.003756307187749108,9.397760792606569e-05,0.2745903876654271,4.699476423996104,-0.02234429171290886,0.2683921351551337,0.2789806264764305
11,"(3, 'elcajon')",15,-0.09249932965261244,-0.004666212363507338,-0.0007475471530992706,-1.5130486101671965,0.005741134538558511,-0.15689587658546422,-0.15661971065698488
12,"(3, 'shafter')",17,-0.02339225747536089,-0.002522303133710352,0.032987807773593725,-0.173734330733474,0.0017468205561776973,-0.014449073565812045,-0.016842119149298895
13,"(2, 'elcajon')",17,-0.07784084845007122,-0.00034068412838624,-0.06511882621778177,-1.7101212972656512,0.004251779036830383,-0.1456583864417471,-0.14277259018674204
14,"(4, 'donovan')",17,-0.200257642288638,-0.010787780967519034,0.06701043642177851,-9.758734733958178,-0.019958891802178358,-0.4881179278142279,-0.4713725110950797
15,"(4, 'shafter')",18,-0.007670292957878465,-0.0002479174028575115,-0.00403182338951269,0.11811788863196605,-0.0011076014761899344,0.01529281157990825,0.01490881219965745
16,"(2, 'donovan')",18,-0.09910446272119787,-0.002584116776976869,0.011689079966149166,-2.5599778479799085,0.016011670605462824,-0.15679025445096606,-0.1566023057017869
17,"(3, 'elcajon')",18,-0.06316376919790034,-0.002591835011824723,0.09379096810250498,-0.9848089810423772,0.0035535140248110775,-0.09602609085233738,-0.1093853037203072
18,"(3, 'shafter')",19,0.03532456907873227,0.0004219123288919935,-0.03807692390926487,-0.1561782030181469,0.0013597019794675536,-0.017114811809715746,-0.013949896812611051
19,"(2, 'elcajon')",19,-0.0688191685649997,-0.00044861879791338605,0.058120282467914335,-0.9946158644955148,0.002213132409516372,-0.07885508409000508,-0.0721676365964079
20,"(4, 'donovan')",19,0.09691617275468543,-0.006274559629662335,-0.8940545455184479,5.151563582108551,-0.10323426277897862,1.038286591906053,0.2985832180216441
21,"(4, 'shafter')",20,-0.05429001984586535,-0.003541363511400164,0.014209649472924857,-0.7097552170978148,0.002680084164376706,-0.08935925265016564,-0.08775732793814095
22,"(2, 'donovan')",20,-0.12892369185021302,-0.0039136936083564436,0.15115561957339052,-3.1762777812448637,0.020542639516116123,-0.1982230297457104,-0.18273854445806315
23,"(3, 'elcajon')",20,-0.0382671393732581,-0.0011222172631804859,0.05068382274572625,-0.2563213791758514,0.0012466808037261412,-0.030746054780641074,-0.02728189068748321
24,"(3, 'shafter')",21,-0.014853047294753454,-0.0021687578485753978,-0.01002765012054574,0.2888540350397761,0.0006117034670847232,0.02730998848289623,0.027284446498966552
25,"(2, 'elcajon')",21,-0.10737795508906077,-0.0014340221235641245,-0.01610365606419234,-2.1297275608454243,0.00489510866670273,-0.17749832874770988,-0.1765390713066477
26,"(4, 'donovan')",21,0.4042445635499572,0.006497769764030631,0.2063784482376425,12.496835316838446,-0.14095777451069036,0.6507237528708956,0.680982239896192
