,Test,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(4, 'elcajon')",11,2.7074971645893804,0.15245565598583966,-0.13340963336025474,15.113542267483275,0.9494999589841846,3.8853241938384726,3.887613955562368
1,"(3, 'donovan')",11,3.9283076533713865,0.13134201599284764,0.07962745819448082,29.942373539012948,0.8573873131361505,5.471383101376407,5.471962494298818
2,"(2, 'shafter')",11,5.490468124590881,0.17401170938123905,-0.7197226813592962,66.50726275087214,0.8748315406898083,8.123377503815265,8.155198510819472
3,"(4, 'elcajon')",12,3.1800090474590736,0.17906218765876514,0.4431578069061549,22.5959448891555,0.9244984317046228,4.732816925143529,4.753519210979956
4,"(3, 'donovan')",12,4.427710696170089,0.1480958898711971,0.2352318294607404,36.83254595035576,0.8245332828356982,6.064421814836155,6.068982282916614
5,"(2, 'shafter')",12,5.636304153656718,0.1782390665736921,-0.03811077506791345,55.05923617409307,0.8960492607683602,7.420093184063178,7.420191114391399
6,"(4, 'elcajon')",13,3.2678874759344736,0.18424242313108827,-0.19906841657169955,23.550259256681123,0.919730164462698,4.848776235180775,4.852860935229971
7,"(3, 'donovan')",13,4.564897521286071,0.15344325339556386,0.6796438792453664,37.85564774007955,0.8176869998244352,6.115041453591463,6.152694348013686
8,"(2, 'shafter')",13,5.923424507671768,0.1885990153572954,0.1501906023184848,64.57996379999439,0.878650195428213,8.034762417496491,8.036165988827905
9,"(4, 'shafter')",15,3.665932194766901,0.18568138381583166,0.1836825571032724,27.635684118230852,0.9002163246109005,5.253755312569584,5.256965295513263
10,"(2, 'donovan')",15,5.973685244555358,0.1391325177756696,0.4694947768812594,73.3091442361478,0.7481013521842192,8.549194042351736,8.562075930295629
11,"(3, 'elcajon')",15,3.4075767146188443,0.1510913571124019,-0.26473991058911417,22.581660144716697,0.9273880825171956,4.744636225385356,4.752016429339939
12,"(3, 'shafter')",17,3.6426275011590294,0.15973491078472435,-0.363826780743088,26.515420577722637,0.9316257551068146,5.136443375717157,5.149312631577407
13,"(2, 'elcajon')",17,4.399568058986093,0.1153505658005955,-0.2857518134171833,35.01778771830421,0.9175945407519778,5.9106796246924675,5.917582928722182
14,"(4, 'donovan')",17,7.854089596753945,0.211284675961904,1.6700775389098002,102.32774849583387,0.3260993346586913,9.976902812450126,10.115717893250775
15,"(4, 'shafter')",18,2.8784360435582594,0.14366844135737228,0.3242270919471634,15.751366411435782,0.943557679245965,3.955533239255305,3.968799114522652
16,"(2, 'donovan')",18,5.5595260586402,0.13049114878969578,0.1254781135818755,65.53224213518332,0.7746835042872471,8.09422617386921,8.095198708813967
17,"(3, 'elcajon')",18,3.1419621957476123,0.13958315696423965,-0.6500327407872499,19.774627805838154,0.9363180283607792,4.399100509275817,4.4468671900381915
18,"(3, 'shafter')",19,3.7563786845720872,0.16420059307077814,-0.4759135970362949,31.25762063845193,0.9242201906981112,5.5705589423036646,5.590851512824494
19,"(2, 'elcajon')",19,5.10741487264027,0.13379049148372849,0.7679456685062018,46.990018045092675,0.8893685367929025,6.8117749159283045,6.854926552859094
20,"(4, 'donovan')",19,6.925012080110992,0.18551328533714587,4.68617180891324,77.01767273320839,0.4880139861029141,7.420071854271648,8.775971327050264
21,"(4, 'shafter')",20,2.8261986233735903,0.14086009851943326,0.3637808822995117,15.999783266051375,0.9428356466260116,3.98339638170833,3.9999729081646764
22,"(2, 'donovan')",20,6.0657071618602325,0.14225163551983566,0.9123689725056604,73.94971458041509,0.7459954384997449,8.550865304774103,8.599401989697602
23,"(3, 'elcajon')",20,3.2738174026408164,0.1455141763357345,0.3399729583742845,21.939911911586847,0.929347675483982,4.671651770509243,4.6840059683551685
24,"(3, 'shafter')",21,3.702395955209611,0.16235585093643426,0.008415573800948694,28.16451370839707,0.92737330520741,5.30701827046539,5.30702493949266
25,"(2, 'elcajon')",21,4.539744076081084,0.11895320342435728,-0.29299630358376105,35.32659201111426,0.9167848359666556,5.936391596505178,5.943617754458496
26,"(4, 'donovan')",21,6.931870934375921,0.18647585899512376,3.48380600864237,90.55590686261637,0.4036252455238246,8.85545045498261,9.516086741019986
