,Test,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(3, 'donovan')",11,1.8654245347097864,0.15730726399886966,0.08799785751179402,13.280568172173176,0.8906830235751256,3.6431887817475963,3.6442513870715856
1,"(4, 'elcajon')",11,1.6630291930497498,0.08598411752020475,0.1831340996665337,6.448386249319008,0.9362249716464432,2.5327550537589274,2.539367293110433
2,"(2, 'shafter')",11,1.9885468767940448,0.1481214059885714,0.11116991400818599,9.56458852601491,0.8867159965563794,3.090668188795953,3.0926668954180814
3,"(3, 'donovan')",12,1.9609341363230717,0.16531556409774442,0.14788376773532924,14.674345723736348,0.8796337110325386,3.827855291286424,3.8307108640220218
4,"(4, 'elcajon')",12,1.923794634988338,0.09946655456855123,-0.23065867106697374,8.297193702361398,0.9179401259223682,2.871234974452993,2.8804849769372862
5,"(2, 'shafter')",12,2.1612096547072537,0.16078210956884084,0.02562539732492504,10.611883071408428,0.8788902434672986,3.257487745660937,3.2575885362348065
6,"(3, 'donovan')",13,1.8262139565452704,0.15554865793996522,-0.02697837887887792,12.617374788454027,0.8973934503217138,3.5519919644501714,3.552094422795378
7,"(4, 'elcajon')",13,1.5409992525552068,0.07965247270254676,0.133812754107211,5.797318641425267,0.942785523283818,2.4040409302136587,2.4077621646303164
8,"(2, 'shafter')",13,1.9160521150224925,0.14129224964154344,0.3083244080005265,8.564080535518388,0.9010351208113572,2.910157492112794,2.926445033742884
9,"(4, 'shafter')",15,1.8510479396181692,0.14912620778880847,-0.09741614355068716,8.028256301320717,0.8870070818170097,2.8317426433065025,2.833417777406064
10,"(2, 'donovan')",15,2.172419619591518,0.20451953839977552,0.41273767236380027,13.876545298110313,0.8947942727756649,3.7021876007489927,3.7251235278994863
11,"(3, 'elcajon')",15,1.5072647306809848,0.09501348774553857,-0.20728837210612727,4.343752329098765,0.9573095804241198,2.0738331323414987,2.0841670588268033
12,"(4, 'donovan')",17,2.4913763039447696,0.3270680730106512,-0.5667123209870806,15.991938881322849,0.7601127344213273,3.9586331085360067,3.99899223321612
13,"(2, 'elcajon')",17,1.42210201525597,0.1263203064356669,-0.3631036718960696,4.109301834530444,0.93642764634638,1.994356432034364,2.027141296143524
14,"(3, 'shafter')",17,1.8913812985672136,0.13817809197345274,-0.2704109741760356,8.04540993271917,0.905389051645808,2.823524001321238,2.836443183411078
15,"(4, 'shafter')",18,1.7777710594093092,0.14403942617599472,0.20478678361945196,7.0689854896903945,0.8988773906581436,2.6508579535051955,2.6587563802820293
16,"(2, 'donovan')",18,2.1157305007251246,0.20353076400168035,0.502176429542647,13.773246115206149,0.893846728479857,3.6771000774374882,3.7112324253819167
17,"(3, 'elcajon')",18,1.6508639035811066,0.10351411222229466,-0.17620248226820662,5.228148982889179,0.949339832552846,2.2797152608303417,2.286514592756665
18,"(4, 'donovan')",19,2.513218901581001,0.3322659817465855,-0.3267307712118005,13.587480483884802,0.7992541256846317,3.6716110289666135,3.6861199768706387
19,"(2, 'elcajon')",19,1.5051616315099967,0.13372809063613073,-0.053188233658305696,4.726898512899563,0.9267719045093654,2.1734924699820515,2.1741431675259024
20,"(3, 'shafter')",19,1.9275283156342,0.13852467064618626,-0.010451022583632516,14.700446950870207,0.8302186239892746,3.8341019459958035,3.834116189015431
21,"(4, 'shafter')",20,1.699945586674572,0.13780595540538074,0.12882064343604532,6.969182309563878,0.9002687581279191,2.63677597491836,2.6399208907775766
22,"(2, 'donovan')",20,2.2123761488146143,0.21307017976971865,0.4526846912043647,14.82299095947008,0.8860156568302489,3.8233581569866737,3.850063760442167
23,"(3, 'elcajon')",20,1.5266036590173782,0.09568897073029056,0.3668839679729157,4.553209806494628,0.955892198738112,2.102048048258492,2.1338251583704393
24,"(4, 'donovan')",21,3.384709517102787,0.4443449260181137,-0.4490497862139056,31.562608805283013,0.5265447187475514,5.600086000288414,5.618060947095804
25,"(2, 'elcajon')",21,1.4021260060789602,0.12485178013842245,0.03044434654339178,4.03793146583211,0.9373736947694816,2.009229854898257,2.0094604912344285
26,"(3, 'shafter')",21,1.8285933909231575,0.1335910141146237,-0.1481214949344744,11.023146755754972,0.8703720037722265,3.316806709264294,3.320112461311359
