,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(1, 'shafter', 18)","(2, 'donovan')",-6.601054896358945,-14.078713594112358,-0.5556779809381638,-0.3223118351996062
1,"(1, 'shafter', 18)","(3, 'elcajon')",-7.572626418175425,-9.681466863424385,-0.37734481948945,-0.44899847164868545
