,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
8,"(2, 'donovan', 15)",0.0012116575226813753,-0.0008332225974241325,-0.13426047649780126,0.29564010581459854,-0.011360047477183333,0.03111387112183195,0.01602257176835664,0.0007286628972354159,0.021726679033978513,0.2948888810493462,2.6902789403638963,-0.0183668326839328,0.0772083353251265,0.13295881939433762
6,"(2, 'donovan', 18)",-0.008952341578622569,-0.14318816299007686,-0.020625080784715477,-5.759340901842705,0.012434272378660238,-0.3041076749883178,-0.30305361312165857,-0.001776802770483893,-0.06232764878673169,0.0968335190723073,-1.8969849423987881,0.01629973713281685,-0.10284750820387067,-0.09921627301995528
7,"(2, 'donovan', 20)",-0.0031411242212741053,-0.11738815298482308,-0.10848610725439373,-2.7137336847144837,-0.0026342622322138576,-0.14372004784238968,-0.14333926055066115,0.0004269230280931624,0.07204527641964198,0.2744341174076341,2.117726590213465,0.010461573745434438,-0.0035365288394650918,0.08852781236664065
3,"(2, 'elcajon', 17)",-0.0025497144726004395,-0.025897419001069455,0.005530688850133192,-0.7823771327110229,0.002558163719736384,-0.09373583849629075,-0.09345582110568706,-0.0010376225330472333,-0.12496232372591898,-0.13328487349546225,-2.02720580596079,0.005130635350113155,-0.1169035145181958,-0.1340963436109215
4,"(2, 'elcajon', 19)",0.004002394897806849,0.047145464099719536,-0.02411277454423899,0.03424583000349557,-0.012234248253729652,-0.0013634363906858127,0.003999193749020691,0.0008396877809081216,-0.03293371437088766,0.08343532348763161,-0.8569432145492897,0.0018280704982907015,-0.06126100913911792,-0.05110308916891704
5,"(2, 'elcajon', 21)",-0.005193602158119176,-0.09332627532687576,-0.034082916891428144,-1.5523471670022655,0.011872450725412764,-0.19206128083108043,-0.19383349495885627,-0.0011532120794913725,-0.10463149600489619,-0.07812082389538438,-2.066980504169841,0.004709801717813322,-0.147571771467919,-0.14923061989479525
0,"(2, 'shafter', 11)",0.005266778485660872,0.03152133811390456,-0.022265959926951573,1.4021103242547355,-0.020989300873303085,0.11682708943637099,0.11723530832276907,-0.0016877141452621147,-0.042443969694771155,0.0006692827537302382,-0.776435757812834,-0.0022421861288387523,-0.043574361124784744,-0.04356347752009526
1,"(2, 'shafter', 12)",-0.0014512197527015158,-0.013612352394710037,-0.03190249771051118,0.34255176355983963,0.007210318208323185,0.030798479932405698,0.02803962111606051,-0.002939357336563253,-0.06813890860616123,0.03322471451590436,-1.1843452010161144,0.003154309479170281,-0.06464333679331702,-0.06812446638188518
2,"(2, 'shafter', 13)",-0.007414338641530127,-0.08054603482449796,0.025208490330139444,-1.939786511498248,0.019648797112062466,-0.1590960067966245,-0.1601639463608766,-0.0022069852958469804,-0.13272120260022735,-0.25847115034697044,-3.4990571252314027,0.004512756364797088,-0.16588762400303736,-0.185568390811218
15,"(3, 'donovan', 11)",-0.003214260890707088,-0.08922607624960399,-0.11542176493354504,-3.8354944416099457,0.016178760180420637,-0.3081285951064823,-0.30662350627250223,-0.003132873095222033,-0.0737502212196306,0.05302432928272613,-1.7825571515505274,0.010281087078471973,-0.14060482429016474,-0.13836314267346417
