,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,O3 CvMAE,O3 MAE,NO2 MAE Improvement,NO2 CvMAE Improvement,O3 MAE Improvement,O3 CvMAE Improvement
9,Level 2,,Split-NN,"(3, 'donovan', 11)",0.34554105194075585,4.157136117881423,0.20288889387460726,6.042686203558639,0.31139912006713644,0.025883487206153855,1.4281940829037074,0.047952964618276056
14,Level 1,,Split-NN,"(3, 'elcajon', 20)",0.33845659127933736,5.394601998768799,0.4631412907565884,10.460998611839106,1.3650787725077969,0.08564485540846511,-0.012353576378110631,-0.000546931657437022
26,Level 1,,Split-NN,"(4, 'shafter', 20)",0.3728510269711285,4.627902635990383,0.4364569318424804,8.706346997776398,2.587068758340587,0.20842945914435507,3.2745139338617815,0.16415430090413102
4,Level 1,,Split-NN,"(2, 'elcajon', 19)",0.4067201520596212,4.574634052163787,0.2615526843800863,10.085420751197944,-0.2532770825799098,-0.02251828066802264,-0.6728984522615757,-0.017450773829472133
16,Level 1,,Split-NN,"(3, 'shafter', 19)",0.3886546325539295,5.4495108891258095,0.4141470533442388,9.40942734600926,-0.7629861930771771,-0.05441554747708771,0.5921124716199202,0.026061270930984703
2,Level 2,,Split-NN,"(2, 'donovan', 20)",0.5401760972419203,5.692674775747047,0.19653792018451435,8.329470959773923,0.30848839475103684,0.02927236557250401,-0.2806127222260315,-0.006621193719260593
2,Level 1,,Split-NN,"(2, 'donovan', 20)",0.5461032391623807,5.755138278806803,0.20732130753660105,8.786481554537897,0.5619831531855342,0.05332640250182441,0.11392060063451837,0.0026880120025637444
26,Level 1,,Split-NN,"(4, 'shafter', 20)",0.3621030230132108,4.494496229006464,0.3047697200099099,6.079479424510709,2.7204751653245056,0.21917746310227276,5.9013815071274704,0.29584151273670156
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.4085869829419671,6.521598825957757,0.3722820716551523,8.392551443551449,-0.13275513801449534,-0.008317288867185413,4.388610657512382,0.19467274978957055
25,Level 1,,Split-NN,"(4, 'shafter', 18)",0.5934049426776401,7.3524492405001665,0.3514757247356018,7.048512935079475,-0.4842452705095459,-0.039082695791462174,6.262565735338366,0.3122842861758301
3,Level 1,,Split-NN,"(2, 'elcajon', 17)",0.4951049911040557,5.568799824395347,0.3203700375399056,12.398756696270196,3.004459754041509,0.2671173442580562,-1.851322150476502,-0.04783609851986498
18,Level 1,,Split-NN,"(4, 'donovan', 17)",0.7236990435130395,5.806520980701113,0.3501628054914379,12.700056840104669,2.4505369140357294,0.30542406144322864,0.7280542710064424,0.020073731109658544
10,Level 1,,Split-NN,"(3, 'donovan', 12)",0.5146965574995009,6.185672850706498,0.3666215590432071,10.934757614657157,-0.9636201785980738,-0.08018076620473646,-0.2184487127628092,-0.007324168533624442
22,Level 1,,Split-NN,"(4, 'elcajon', 12)",0.2950160865871443,5.701735773747762,0.43344967684867625,7.749868578934697,1.3699945854337612,0.07088550877807209,-0.04329195647048323,-0.0024213164844219537
8,Level 2,,Split-NN,"(2, 'shafter', 13)",0.3820370768680132,5.15656005608002,0.3252109113062245,10.305806256816288,1.0152732479467073,0.07521914215088421,0.45371510769927426,0.014317473079866194
16,Level 1,,Split-NN,"(3, 'shafter', 19)",0.28223519092355803,3.9573534377440183,0.2599310724185946,5.905637915670713,0.7291712583046142,0.05200389415328377,4.095901901958467,0.1802772518566289
19,Level 1,,Split-NN,"(4, 'donovan', 19)",0.4828883422155036,3.990182617254424,0.20170240623095656,7.181077480316162,1.6996711839151648,0.20569269104705823,5.25029035594115,0.1474703762920395
25,Level 2,,Split-NN,"(4, 'shafter', 18)",0.30797959851058426,3.8159513045862874,0.24904544478861398,4.994370636366622,1.4737358893284775,0.11894297156269185,3.0277834742929617,0.15098112194321975
4,Level 1,,Split-NN,"(2, 'elcajon', 19)",0.3162795529090873,3.5573924857525934,0.19271457679752524,7.431036681954508,0.7639644838312836,0.06792231848251123,1.9814856169818604,0.051387333753088904
19,Level 1,,Split-NN,"(4, 'donovan', 19)",0.5033345281529409,4.159132680000617,0.2395329036787837,8.5279316818505,1.5307211211689715,0.18524650510962093,3.903436154406812,0.10963987884421236
6,Level 1,,Split-NN,"(2, 'shafter', 11)",0.40142060462576573,5.441549404337282,0.24965169310842275,7.864090051504459,0.1590638748433637,0.011734069116940693,3.2076708526099678,0.10183002153382223
21,Level 1,,Split-NN,"(4, 'elcajon', 11)",0.16554567278426818,3.1994786983400214,0.21064599407036916,3.7662475205728234,2.427751002195677,0.12561536140862062,3.2593597508770764,0.18229579203334706
21,Level 2,,Split-NN,"(4, 'elcajon', 11)",0.17645804906912474,3.4103807103616077,0.2287432550710619,4.089817710805109,0.9207959823581602,0.0476433209183795,2.1449035151543185,0.11996432275539659
15,Level 1,,Split-NN,"(3, 'shafter', 17)",0.31766283076258595,4.348219469693025,0.3036224413872725,6.8600085161704145,0.8521332908338293,0.06225331431405928,4.7681328200747215,0.21103649132174102
18,Level 1,,Split-NN,"(4, 'donovan', 17)",0.7325998980866923,5.877936024414866,0.35565759412168263,12.89934736106828,2.3791218703219768,0.2965232068695758,0.528763750042831,0.014578942479413826
1,Level 1,,Split-NN,"(2, 'donovan', 18)",0.5964611373934107,6.257557205541838,0.18701526143939545,7.952268679194523,0.07886602242751017,0.007517393112626558,2.2709597690813386,0.053406663188361125
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.2814398742792609,4.4921596387176645,0.2574547150198505,5.803937671729858,1.8966840492255974,0.11882981979552076,6.977224429333973,0.30950010642487236
1,Level 2,,Split-NN,"(2, 'donovan', 18)",0.5443620363733394,5.710978250850662,0.2026669972892376,8.617812270748205,0.4027029752029785,0.0383850545399016,0.06111474074604928,0.0014372488756983492
11,Level 1,,Split-NN,"(3, 'donovan', 13)",0.6064661510223945,7.223692607102807,0.4477545453274536,13.321919844393356,-1.4051969230359358,-0.11797350962915737,-2.6092011647618314,-0.08769619505611104
23,Level 1,,Split-NN,"(4, 'elcajon', 13)",0.44327117078633504,8.590647832758124,0.7323160954286944,12.9623105425773,-1.2671917443960554,-0.06538617099484506,-3.2200294721750016,-0.18191813893695363
22,Level 2,,Split-NN,"(4, 'elcajon', 12)",0.29269951893824764,5.656963785925604,0.28793313036789664,5.148103780110789,-0.2140864521238992,-0.011077143838849723,1.3902135817931374,0.07775456082143112
11,Level 2,,Split-NN,"(3, 'donovan', 13)",0.390484598142116,4.651109876505794,0.2584517734378509,7.689645689386267,0.30755027361361886,0.025820427422526104,1.4663141536707096,0.04928334916084581
0,Level 1,,Split-NN,"(2, 'donovan', 15)",0.5230085400178875,5.569655521464533,0.19825216309272573,8.523109606614922,4.109754895722578,0.3859191828937455,1.6204856969074388,0.03769337829744482
24,Level 1,,Split-NN,"(4, 'shafter', 15)",0.605374263370695,7.557177722907201,0.5554154143180742,10.91967489943089,0.1705519750345248,0.013662213598600426,2.244484630106667,0.11416286402685982
17,Level 1,,Split-NN,"(3, 'shafter', 21)",0.2797403873184702,3.829131018185535,0.3079722818153248,6.958288281803287,1.018687790249599,0.07442109336234037,3.92956137355739,0.17392150680399815
20,Level 1,,Split-NN,"(4, 'donovan', 21)",0.4248502346586556,3.4087398944542424,0.2259713037288485,8.195754536411219,2.830334374551605,0.35276033385446376,4.663585229670655,0.1285832109438378
8,Level 1,,Split-NN,"(2, 'shafter', 13)",0.4369794512045704,5.8981468549654235,0.35409953011839296,11.221275259099816,0.16824983924945158,0.012465224116721962,1.143146404343124,0.03607322655294204
11,Level 1,,Split-NN,"(3, 'donovan', 13)",0.4095763542768466,4.878514122257294,0.2462249673269535,7.325864835206008,0.939981561809577,0.0789162871163906,3.3868538444255174,0.11383338294438908
0,Level 2,,Split-NN,"(2, 'donovan', 15)",0.5140592505598576,5.474352183891123,0.1934232026089552,8.31550652755072,0.16324631723303362,0.015329353442112836,-0.7334537171585147,-0.01706053220789533
12,Level 1,,Split-NN,"(3, 'elcajon', 15)",0.32782880402556136,5.232748542593832,0.5693944395373727,12.795036827243075,3.1698796683735573,0.19859120921425633,0.09555727915153156,0.0042524131927743625
24,Level 1,,Split-NN,"(4, 'shafter', 15)",0.565999239530442,7.065640386404526,0.7128187052149948,14.014282503732286,0.6620893115371995,0.05303723743885347,-0.8501229741947292,-0.0432404268700608
19,Level 2,,Split-NN,"(4, 'donovan', 19)",0.5245557065897603,4.33448662813644,0.2458657563594261,8.753396050971851,1.0796642490565436,0.13066000466289363,0.657518568911188,0.018468409212190173
18,Level 2,,Split-NN,"(4, 'donovan', 17)",0.7200855009757394,5.777528113091898,0.318598316854448,11.555244217142027,1.0017900155630732,0.12485866812047042,-0.05902082532916175,-0.0016273075026259631
2,Level 1,,Split-NN,"(2, 'donovan', 20)",0.6034270773289564,6.359248622167156,0.21313778418636994,9.032989573433024,-0.04212719017481881,-0.003997435664751303,-0.13258741826060927,-0.003128464647205148
