,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE,Test
0,0.2660795989626919,3.2691399679302533,0.11499085688887438,21.95707727386167,0.701496134864858,4.684426791196995,4.685837947887408,0.19496546298051554,7.50731310632682,1.7619821402785198,92.14187814410398,0.7945053491280984,9.435957664807617,9.599056106935931,"(2, 'elcajon', 17)"
1,0.5558921093434359,4.6103345582244595,0.44362888423674696,46.498085869643255,0.38263886651323487,6.804504330327295,6.818950496201249,0.25236395190816596,8.925348941339266,3.921925294289895,138.0494581229495,0.2517950034264499,11.07555685993464,11.749445013401676,"(4, 'donovan', 17)"
2,0.2492851184930582,3.4203065491839157,-0.004862490547696289,24.087604985353227,0.6987569565003744,4.90791007828425,4.907912487540219,0.19825203886283127,4.490770068211727,0.5635167675461059,42.14746027265795,0.890359299730936,6.467604589127431,6.492107537052814,"(3, 'shafter', 17)"
3,0.3244248047751495,3.8977436503605674,0.6106133638902732,55.07718110921204,0.5976059167915524,7.396237687277291,7.421400212171019,0.17663212005031165,5.251868359400589,0.5312137385422797,51.76486904573712,0.740866990098513,7.175143276122454,7.194780680864228,"(3, 'donovan', 11)"
4,0.3076485661378111,4.144615469583671,0.05217380690307259,34.44256820279639,0.5887921002461904,5.868547157524202,5.868779106662338,0.21951015505232851,7.022194254820036,0.8319000553940779,84.70065731421319,0.8494774578816385,9.165620597078972,9.203296002748862,"(2, 'shafter', 11)"
5,0.18026712901841627,3.598058405011106,-0.6689056429502775,23.116955769019714,0.779272995250588,4.761252042085954,4.808009543357803,0.222801503884386,3.9123302926691315,0.6527082995116282,32.477702038623725,0.8891034669077751,5.661419778912587,5.698921129356304,"(4, 'elcajon', 11)"
6,0.18754997877841104,3.7434211171931215,0.5374238600976747,25.98252175483123,0.7519117889014533,5.068895082820318,5.097305342514928,0.2602916410890652,4.570646313454607,0.46573661591509263,44.28278725621322,0.8487944874752997,6.638213363200543,6.65453133257431,"(4, 'elcajon', 12)"
7,0.3171096968418761,4.300518403988933,-0.1964893243851476,39.05489758540512,0.5358775362823092,6.246302126887897,6.249391777237616,0.2546610683064545,8.044871509815525,2.336424410547038,111.90613667594981,0.7957056334047737,10.317328000373065,10.578569689516149,"(2, 'shafter', 12)"
8,0.3172053272215177,3.8003022539527094,0.8412913264512698,46.560566312778725,0.6466270923414335,6.771469206969272,6.823530340870386,0.19707072702779796,5.90589180879878,-0.2845615804411075,63.11829650985535,0.684904399148863,7.939604602392439,7.944702417954706,"(3, 'donovan', 12)"
9,0.25803994005674824,3.7840880479718786,-0.2114640935898659,28.34294973675484,0.6146508074516495,5.319608324515237,5.323809701403201,0.313242499482333,5.822209674582134,0.7930011337913947,67.80155391763468,0.7611238962228041,8.195895483611965,8.234169898516466,"(4, 'shafter', 15)"
