,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.04048244348885266,0.07013089000962758,0.005078154737402196,0.0018485118467459483
6,"(2, 'donovan', 18)",-0.13916045289909196,-0.022893110909803838,-0.008571431854092815,-0.000839312493544464
7,"(2, 'donovan', 20)",-0.17094730848439355,-0.08185058137066559,-0.008589380497564969,-0.0029514728450929784
3,"(2, 'elcajon', 17)",-0.040698083366544235,-0.07878109922681897,-0.003866643434281447,0.00013048815829280747
4,"(2, 'elcajon', 19)",0.05302481337352738,0.022703671784164214,0.004526436277659751,0.0023044972329024083
5,"(2, 'elcajon', 21)",-0.10003317357310149,-0.1089714528997634,-0.005751052071931967,-0.0012254413631330452
0,"(2, 'shafter', 11)",0.04387913523010756,-0.021231713843169686,0.0062041897336792,-0.0010262495748921963
1,"(2, 'shafter', 12)",0.002724649160782633,-0.024795080997026098,-0.00023821669618956376,-0.0015548676296590347
2,"(2, 'shafter', 13)",-0.060441349374369846,-0.11581603430814891,-0.005848965445453491,-0.0017815426159328018
15,"(3, 'donovan', 11)",-0.09052999769753178,-0.08406070018944689,-0.003207731311004436,-0.0034911511024395547
16,"(3, 'donovan', 12)",-0.0943304067502635,-0.030703230027318007,-0.004214603774200132,-0.0014464731196595915
17,"(3, 'donovan', 13)",-0.11479372772960783,-0.16479053501505447,-0.005228108485340777,-0.005521836443081796
14,"(3, 'elcajon', 15)",-0.003207579220815493,-0.04298385291247886,0.0007967117762482101,-0.002572646071940521
12,"(3, 'elcajon', 18)",-0.012297992806921787,-0.024224466726666893,-0.0006111017317552703,-0.0008332995624578676
13,"(3, 'elcajon', 20)",0.0005808751261158207,-0.018942208486843803,-0.0001089301293713818,-0.00016510801391234065
9,"(3, 'shafter', 17)",-0.012350616172201345,-0.029021629505894708,-0.0008994616358591889,-0.0029605392481014126
10,"(3, 'shafter', 19)",0.027889472400751902,0.09740330464807023,0.0038792164451711963,0.0029466208535589566
11,"(3, 'shafter', 21)",-0.0011900224530183579,0.0220783379423084,-8.444222603551377e-05,-0.0007252504075080934
24,"(4, 'donovan', 17)",-0.5031353859472851,-1.3828145897064843,-0.03088756842303564,-0.04428832005624653
25,"(4, 'donovan', 19)",-0.1661504109700518,-0.15488472215069748,0.021768037935769702,-0.014588858691713169
26,"(4, 'donovan', 21)",0.3555044920242385,0.634400019316792,0.0725253876303778,0.01236507513091667
21,"(4, 'elcajon', 11)",-0.012443431667725768,-0.03210092085419758,-0.0007472034772268432,-0.0005464867936750828
22,"(4, 'elcajon', 12)",-0.01769499014306941,-0.055612603410344796,-0.0010520746372694179,-0.0015847419295820786
23,"(4, 'elcajon', 13)",-0.15210528833920023,0.0033184993134325325,-0.007106655888898694,-0.0006555364246167428
20,"(4, 'shafter', 15)",-0.027598061469181534,-0.002985289764841248,-0.0007193372903906425,-0.0010309481815292676
18,"(4, 'shafter', 18)",-0.0005078349693321549,-0.0002563510660951174,0.0008361355184772212,0.00013550576292276073
19,"(4, 'shafter', 20)",-0.04972813309738022,-0.05159473466698117,-0.002586245294577627,-0.003573541189505286
