,Test,Model,NO2 MAE,NO2 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE
0,"(4, 'elcajon')",11,-0.019446499640894288,-0.0011652717305422609,0.037719723330121635,-0.5437422362422808,0.0036873427857686547,-0.052802590728885164,-0.04966744159547965
1,"(2, 'shafter')",11,0.07369479682847757,0.00904809304759474,-0.07062840983282187,10.165567710339332,-0.1256025009676739,0.7508958927071623,0.7449845350765099
2,"(3, 'donovan')",11,-0.039670161715894985,0.003332260128813102,-0.03700502785986326,-4.1542619482565035,0.0054522013857249965,-0.24335406609939625,-0.2405226277777928
3,"(4, 'elcajon')",12,-0.037291202565441495,-0.0021028449770525426,-0.04198049798296288,-0.7145612566085404,0.004980434898217756,-0.06392870137336093,-0.058763323233179676
4,"(2, 'shafter')",12,-0.023799597547522037,-0.002357822223736428,-0.07819531008921833,3.3120592896739467,-0.02108575021033654,0.2390087980284319,0.2184494773287957
5,"(3, 'donovan')",12,-0.10599366762361397,-0.003626711359893841,-0.07607363566149321,-5.545761254465312,0.031145746901077742,-0.3679601033228286,-0.36780473542150105
6,"(4, 'elcajon')",13,-0.010614610888570295,-2.5526975189704707e-05,-0.00421216923976364,-1.4272968323801651,0.00037971893943733464,-0.09428800793329016,-0.0942312475434406
7,"(2, 'shafter')",13,0.0012121783912917294,-0.0016791447063931875,0.03947697185260818,-0.4406761027318282,6.20153947236135e-05,-0.025296372564055147,-0.026676645175832903
8,"(3, 'donovan')",13,-0.09789012494719797,-2.566330005915329e-05,-0.16474139781138186,-4.1989422437892046,-0.03711606205277773,-0.21646523840023055,-0.20785971841492312
9,"(4, 'shafter')",15,0.029912979250736882,0.005014639881040062,-0.07498808029267923,0.4081291797524855,0.0008884989879023306,0.025629134656049324,0.028790801006694625
10,"(3, 'elcajon')",15,-0.01703056698313521,0.0006310563536103818,0.002425750669737769,-6.463835634006536,0.057755961472774286,-0.516933364951389,-0.5151386747372158
11,"(2, 'donovan')",15,0.14188826670565025,0.01487024508025092,-0.18753265357376392,42.53041470911708,-0.33273190280186515,1.9798786848258951,1.9733180541170992
12,"(4, 'donovan')",17,0.13731193013279785,0.08110413145996342,-0.04339886923919512,46.94155927872977,-0.7291196669278848,2.6795319164553604,2.0544214208985743
13,"(2, 'elcajon')",17,-0.06740054525795536,-0.006347431232253842,-0.057754792454119526,-0.9294851271050248,-0.005005245174790618,-0.07222410614704433,-0.0775499753101423
14,"(3, 'shafter')",17,0.003436975856155655,0.0002557723008929092,0.04478904503964419,6.811086237301829,-0.036936831163816734,0.4540083447009069,0.4530879582136426
15,"(4, 'shafter')",18,-0.010354887970571271,0.0005799652182101322,-0.07361812980062454,0.2936817882282696,-0.01359460271811419,0.016184702210230384,0.023871408380482077
16,"(3, 'elcajon')",18,0.003413491435523497,0.0004354745082141287,-0.06336480941738643,-3.2025559147627334,0.03146226119959161,-0.2670018620864596,-0.271744386794178
17,"(2, 'donovan')",18,0.02634625734722018,0.007856708891528784,-0.15216702088914702,6.987774569233835,-0.0880328279315048,0.3777466462484522,0.3440290720341181
18,"(4, 'donovan')",19,0.1671553504568566,0.08117169547010061,-0.16693986162747132,5.215448846943231,-0.04188565595853355,0.3784974901447766,0.4120188522582637
19,"(2, 'elcajon')",19,-0.06123308518830761,-0.005640525460283874,-0.03377015466892326,-1.3716063748503302,0.007700704248294166,-0.15227462787410673,-0.15143410899952947
20,"(3, 'shafter')",19,-0.0004992801526828572,0.0024759413959342673,-0.013216637152038135,6.612942931037849,-0.04696132673540676,0.5068072071317395,0.5065519997908899
21,"(4, 'shafter')",20,-0.034446241218478946,-0.0001668693267397603,-0.054962092470277946,-1.023840377406863,0.001347375644592863,-0.0819685457844459,-0.07384342749134998
22,"(3, 'elcajon')",20,0.041618045131875725,0.002329933943351959,-0.01052240282001904,6.100608187250401,-0.058047456917246665,0.4796633235718133,0.4648504998804892
23,"(2, 'donovan')",20,-0.006128220727777745,0.008381345597826995,-0.18975932296535425,24.965819571511002,-0.2174194009075141,1.1976105856991597,1.186963847770441
24,"(4, 'donovan')",21,0.7607204383242063,0.17135968259092338,-0.7482137756272778,47.06700364463481,-0.7390240844562816,1.9863452570270328,1.8291394474916116
25,"(2, 'elcajon')",21,-0.12190677525262572,-0.006042504177075858,-0.1309204186360322,2.1755000933947954,-0.058038271176068634,0.2216630944957867,0.1850085226940328
26,"(3, 'shafter')",21,-0.00506682994614316,-0.0003655995525565503,0.05122883387800997,5.675253883861892,-0.03018717943547922,0.4139044084842727,0.4104295733669545
