,Model,Testing Location,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(3, 'elcajon')",7.436721739795932,0.17298219068882772,-0.2715815913286477,96.83262545586796,0.6760172189270475,9.83660860739714,9.840356978070863
1,"(2, 'donovan', 15)","(4, 'shafter')",7.436721739795932,0.17298219068882772,-0.2715815913286477,96.83262545586796,0.6760172189270475,9.83660860739714,9.840356978070863
2,"(2, 'donovan', 18)","(3, 'elcajon')",6.598274941549943,0.15517309123010695,-0.18696093619393464,81.4742629107594,0.7112440382286918,9.024373026371268,9.02630948454347
3,"(2, 'donovan', 18)","(4, 'shafter')",6.598274941549943,0.15517309123010695,-0.18696093619393464,81.4742629107594,0.7112440382286918,9.024373026371268,9.02630948454347
4,"(2, 'donovan', 20)","(3, 'elcajon')",7.474642839626143,0.1763678347540655,-0.2426947219404719,99.20965610648744,0.6468410640331288,9.957447232018339,9.96040441480603
5,"(2, 'donovan', 20)","(4, 'shafter')",7.474642839626143,0.1763678347540655,-0.2426947219404719,99.20965610648744,0.6468410640331288,9.957447232018339,9.96040441480603
6,"(2, 'elcajon', 17)","(3, 'shafter')",7.361276445781323,0.19020716907736565,0.05884570255097734,83.08619244618316,0.8039632483859143,9.11497282659002,9.11516277672446
7,"(2, 'elcajon', 17)","(4, 'donovan')",7.361276445781323,0.19020716907736565,0.05884570255097734,83.08619244618316,0.8039632483859143,9.11497282659002,9.11516277672446
8,"(2, 'elcajon', 19)","(3, 'shafter')",7.472333830034414,0.1937855663183401,-0.0835284710626114,85.80195287053596,0.7982210994245661,9.262557738824498,9.262934355296704
9,"(2, 'elcajon', 19)","(4, 'donovan')",7.472333830034414,0.1937855663183401,-0.0835284710626114,85.80195287053596,0.7982210994245661,9.262557738824498,9.262934355296704
10,"(2, 'elcajon', 21)","(3, 'shafter')",6.991808957753763,0.18112812109070725,0.07444157447356545,75.58996927919678,0.8221861388761706,8.693930511062693,8.694249207332211
11,"(2, 'elcajon', 21)","(4, 'donovan')",6.991808957753763,0.18112812109070725,0.07444157447356545,75.58996927919678,0.8221861388761706,8.693930511062693,8.694249207332211
12,"(2, 'shafter', 11)","(3, 'donovan')",7.233382412631832,0.22962938552169235,0.0439729471656982,85.31477584685423,0.8433944760030351,9.236495126765961,9.236599798998236
13,"(2, 'shafter', 11)","(4, 'elcajon')",7.233382412631832,0.22962938552169235,0.0439729471656982,85.31477584685423,0.8433944760030351,9.236495126765961,9.236599798998236
14,"(2, 'shafter', 12)","(3, 'donovan')",7.004266330483951,0.2223277058637556,0.03995478003706611,85.29837302059505,0.83792980597131,9.235625405793993,9.235711830746727
15,"(2, 'shafter', 12)","(4, 'elcajon')",7.004266330483951,0.2223277058637556,0.03995478003706611,85.29837302059505,0.83792980597131,9.235625405793993,9.235711830746727
16,"(2, 'shafter', 13)","(3, 'donovan')",7.434804122958847,0.23461332029326004,0.22558069424972635,92.930092257446,0.8274927195839267,9.637385828523595,9.640025531991396
17,"(2, 'shafter', 13)","(4, 'elcajon')",7.434804122958847,0.23461332029326004,0.22558069424972635,92.930092257446,0.8274927195839267,9.637385828523595,9.640025531991396
18,"(3, 'donovan', 11)","(2, 'shafter')",5.672601667183686,0.19046295618798845,0.020570526101852758,57.35299592147224,0.7244100167009986,7.573148141620357,7.573176078863625
19,"(3, 'donovan', 11)","(4, 'elcajon')",5.672601667183686,0.19046295618798845,0.020570526101852758,57.35299592147224,0.7244100167009986,7.573148141620357,7.573176078863625
20,"(3, 'donovan', 12)","(2, 'shafter')",6.451422508145662,0.21630388723133653,-0.002137286901958785,72.59246879504215,0.6514409655517239,8.520121139223717,8.520121407294742
21,"(3, 'donovan', 12)","(4, 'elcajon')",6.451422508145662,0.21630388723133653,-0.002137286901958785,72.59246879504215,0.6514409655517239,8.520121139223717,8.520121407294742
22,"(3, 'donovan', 13)","(2, 'shafter')",8.527795939272114,0.2866223065469861,-0.10664114150212856,116.16784719937313,0.4456850832715474,10.777591329527755,10.778118908203465
23,"(3, 'donovan', 13)","(4, 'elcajon')",8.527795939272114,0.2866223065469861,-0.10664114150212856,116.16784719937313,0.4456850832715474,10.777591329527755,10.778118908203465
24,"(3, 'elcajon', 15)","(2, 'donovan')",5.814293640526951,0.2587430199266482,0.0700777259428201,64.66559879320157,0.7897153654032324,8.041186971183294,8.041492323766875
25,"(3, 'elcajon', 15)","(4, 'shafter')",5.814293640526951,0.2587430199266482,0.0700777259428201,64.66559879320157,0.7897153654032324,8.041186971183294,8.041492323766875
26,"(3, 'elcajon', 18)","(2, 'donovan')",4.07183217675113,0.18062089084455504,-0.015905554759264622,31.43263910542251,0.8981962382866315,5.606459321064441,5.606481883090545
27,"(3, 'elcajon', 18)","(4, 'shafter')",4.07183217675113,0.18062089084455504,-0.015905554759264622,31.43263910542251,0.8981962382866315,5.606459321064441,5.606481883090545
28,"(3, 'elcajon', 20)","(2, 'donovan')",5.894669171605588,0.2609755330271017,0.040647220562012115,57.180105246162654,0.8147797134125309,7.56164354156045,7.561752789278597
29,"(3, 'elcajon', 20)","(4, 'shafter')",5.894669171605588,0.2609755330271017,0.040647220562012115,57.180105246162654,0.8147797134125309,7.56164354156045,7.561752789278597
30,"(3, 'shafter', 17)","(2, 'elcajon')",6.06236573054529,0.26831895023918084,-0.04728122552280431,66.3635380467818,0.8256414633287887,8.146244688965263,8.14638189914896
