,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 18)",0.557858765657367,5.799019187037576,1.8164633485162243,98.72325080404221,0.2391193796803931,9.768506120246816,9.935957467906261,0.20592005829682947,8.77314623034672,1.1766414684014057,138.42471414418415,0.5240606685382736,11.706418288342306,11.765403271634344
0,"(2, 'elcajon', 17)",0.6336190770389767,7.1332234047473495,-4.033219002941275,91.93126722268694,-0.4222092382206093,8.698529373990151,9.588079433478164,0.2999459274620223,11.44019114883319,4.353689072370284,252.8297233208474,0.40502953443531353,15.292975994270764,15.90062021811877
1,"(2, 'shafter', 13)",0.422403164721969,5.728173195706233,-0.5030624707050672,62.642650610791186,0.2761134923892833,7.898707411705464,7.914711025096948,0.32524207175774206,10.215041977424757,-1.7196447126124739,185.57842334109964,0.6512864969245342,13.513742834584603,13.622717179076266
5,"(4, 'donovan', 17)",0.8223630317710017,6.264187610044507,-2.596180377467986,69.99727135624839,-0.049994884812228024,7.953434404075261,8.366437196097774,0.48394052554997563,17.989531090532232,-3.420319325063935,757.1108503970266,-3.9861109358861047,27.30223921812681,27.515647373758565
3,"(4, 'elcajon', 13)",0.4570270097947415,8.841888476222026,-4.445200234089561,147.95238765966292,-0.46016097482890617,11.322216325251354,12.163568048054934,0.6875329431188291,12.194695748827666,-2.5112797237782813,293.5671915515666,-0.0006085252885992265,16.948765911029,17.133802600461074
4,"(4, 'shafter', 18)",0.3244527678798448,4.004478191806092,-0.09097903450163929,30.18074190411983,0.5682611914158318,5.492946793005064,5.493700201514443,0.24857939425315995,4.98035533304307,3.0853009047179003,48.44322847771199,0.8264119969861847,6.238921917931045,6.960116987358186
