,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.08601429476343725,0.18093436115918315,0.009400782524694784,0.004457225263536979
3,"(2, 'donovan', 18)",-0.1346671822266643,-0.09056570390582142,-0.00805509877589261,-0.002469716961226387
4,"(2, 'donovan', 20)",-0.14322905008631182,-0.00636923101898379,-0.005716294565609403,-0.0012328201031917285
6,"(2, 'elcajon', 17)",0.007947745456204913,-0.10630047479906857,0.00042214974338516953,-0.00019865370869232013
7,"(2, 'elcajon', 19)",-0.01033717942577228,-0.1001065095452569,-0.0011023913034722277,-0.0007757423030195221
8,"(2, 'elcajon', 21)",-0.08696411712896213,-0.10947450429634653,-0.004492690659839427,-0.0009701171740646719
0,"(2, 'shafter', 11)",0.05111265101937068,0.017152277051941667,0.007034587879813148,0.00017450694459000826
1,"(2, 'shafter', 12)",-0.018571712800045326,-0.07473743292567825,-0.001936145189836258,-0.003487565387859992
2,"(2, 'shafter', 13)",-0.10788289777954407,-0.17661997672367313,-0.009517257229665177,-0.003262044236876871
12,"(3, 'donovan', 11)",-0.06754498003817178,-0.06395917646233151,-0.0010050063671407372,-0.002849842541328723
13,"(3, 'donovan', 12)",-0.09716815122932765,-0.0253317735638392,-0.004387249178795738,-0.0012757923704730112
14,"(3, 'donovan', 13)",-0.08455501757234174,-0.1192382476744962,-0.0020305045321642456,-0.003987115543363451
17,"(3, 'elcajon', 15)",-0.020448422853456716,-0.046737210801196305,-0.0001351660282039313,-0.002841887310391422
15,"(3, 'elcajon', 18)",-0.005475434151970049,0.0070354301525856755,-0.00017941910013735685,0.0006157557463138119
16,"(3, 'elcajon', 20)",0.004700754243368799,0.005390036369156803,0.0001290237805265937,0.0010501565794829582
9,"(3, 'shafter', 17)",-0.027652308084103794,0.027715835558280055,-0.0020169457429324855,-0.0007419160395701063
10,"(3, 'shafter', 19)",0.008667507161382204,0.11263180405283979,0.0026098515189100224,0.003589767589229853
11,"(3, 'shafter', 21)",-0.015191811651376952,0.02230761564295225,-0.001107097150485431,-0.0009208942022592703
21,"(4, 'donovan', 17)",-0.37301160691975266,-0.3259176653636153,-0.011946689395095467,-0.015347102699781678
22,"(4, 'donovan', 19)",0.014360026321648789,0.3014182453070511,0.04705020855341585,-0.0017193562168887344
23,"(4, 'donovan', 21)",0.7152937617582191,0.7207252921177556,0.12397123118344278,0.013229896535781993
24,"(4, 'elcajon', 11)",-0.006382960052583542,-0.014483200873347979,-0.00043882784817478315,0.0005526064307281031
25,"(4, 'elcajon', 12)",-0.016905756699928,-0.018797784036014065,-0.0010091074503788267,0.0004742177180479812
26,"(4, 'elcajon', 13)",-0.1042070437026017,-0.04599865883436216,-0.005066937904652485,-0.003129626736685376
20,"(4, 'shafter', 15)",-0.011681665701843258,-0.0251702176068358,0.0006895246663948251,-0.002404498937504662
18,"(4, 'shafter', 18)",-0.014892781746794537,-0.007714669219275105,-0.00017097184129755139,-0.00020294319277319728
19,"(4, 'shafter', 20)",-0.05166464632413792,-0.07115504387109839,-0.002466556389509156,-0.004701392518886266
