,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
5,"(2, 'donovan', 15)",5.372186439386431,6.740678284151563,0.5057573043772451,0.15699647751688578,0.40615336362389787,80.33176877991805,0.39096064819106613,8.953591918525495,8.962799159856147,-0.10173673664909902,86.80789989510608,0.7017180758123944,9.316520245520287,9.317075715862035
3,"(2, 'donovan', 18)",5.393800726809316,6.098374585751922,0.5188772305471175,0.1431388030294247,1.1308784193530994,84.47034464891783,0.34896949085829754,9.120935181096234,9.190774975426056,-1.1436181537178485,75.05197828425821,0.7419522330941318,8.587439424543025,8.663254485714836
4,"(2, 'donovan', 20)",5.5105658093203305,7.021165351886516,0.5307132099818777,0.16465883167606718,0.3464497975947985,80.48096938838317,0.38112554622190375,8.964426471008943,8.97111862525422,0.3067908319162912,91.97665349234076,0.684076001224077,9.585537693754135,9.590445948564684
6,"(2, 'elcajon', 17)",5.623686656735302,10.040639028026813,0.4995322516641742,0.26325161410262327,-1.6587044389798742,55.32130091675858,0.14415989672358265,7.2505172391417885,7.437829045948729,5.3652264441797595,176.07194934577674,0.5856594379047807,12.136156496545345,13.269210577339434
7,"(2, 'elcajon', 19)",3.810110134776764,7.375011444292018,0.33851431153338124,0.19319096459455526,-1.161180267708175,25.93271123929534,0.5982560129480567,4.9582629632215,5.09241703312831,1.1788434247266693,90.64003556787158,0.7866006403659126,9.447241064408736,9.520506056290893
8,"(2, 'elcajon', 21)",3.671852186861344,8.039948474061395,0.32695868983759613,0.21066774036785904,0.9409278692015514,28.240481372473727,0.5620042040696585,5.230213773574251,5.314177393771658,-0.625520047485406,108.41736696652724,0.7446125294694598,10.393560104353739,10.412366059956174
0,"(2, 'shafter', 11)",4.065159668335946,6.237551059414287,0.3028026005666643,0.19768932221645802,-0.28148545118980606,35.94199380879585,0.5742992038463914,5.988552431247108,5.995164201987786,-0.5184091233268309,73.48147466954187,0.8617058860672052,8.556443576808343,8.572133612441062
1,"(2, 'shafter', 12)",3.907471149839344,6.231676734957222,0.2906943586811126,0.19706676824868485,0.4591747991209033,33.439903355600975,0.6183619319378358,5.764465443734507,5.782724561623264,-0.6124572634555866,68.19247767556173,0.871253962877401,8.235130465854738,8.257873677621966
2,"(2, 'shafter', 13)",3.933144779616218,6.652713480111079,0.29003536475903446,0.2118192289237632,0.12323104141832333,32.39428628346536,0.6256578140350931,5.690263647982084,5.691597867336146,-0.8816889189835259,77.231485424708,0.8548771923734347,8.743804098329175,8.788144595118357
12,"(3, 'donovan', 11)",3.471340768967286,4.529774391510237,0.29273074767344065,0.15145191086628013,0.06666917578926453,37.2873704129349,0.6930746832867347,6.105974565263332,6.106338543917697,0.21077711291814594,38.154673796867804,0.8182729054697242,6.173349723406218,6.176946964064675
