,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,O3 CvMAE,O3 MAE,NO2 MAE Improvement,NO2 CvMAE Improvement,O3 MAE Improvement,O3 CvMAE Improvement
9,Level 2,,Split-NN,"(3, 'donovan', 11)",0.34554105194075585,4.157136117881423,0.20288889387460726,6.042686203558639,1.7384171554522645,0.14449719123292992,1.8526470869946694,0.06220437493494188
14,Level 1,,Split-NN,"(3, 'elcajon', 20)",0.33845659127933736,5.394601998768799,0.4631412907565884,10.460998611839106,2.198864478060093,0.1379564564910053,-2.509350948302603,-0.11109685416102144
26,Level 1,,Split-NN,"(4, 'shafter', 20)",0.3728510269711285,4.627902635990383,0.4364569318424804,8.706346997776398,4.9234130719718845,0.39665908392537985,5.153223704593408,0.2583356955309975
4,Level 1,,Split-NN,"(2, 'elcajon', 19)",0.4067201520596212,4.574634052163787,0.2615526843800863,10.085420751197944,0.24343406369592113,0.021643160583755483,-0.7137370272008781,-0.018509870833468056
16,Level 1,,Split-NN,"(3, 'shafter', 19)",0.3886546325539295,5.4495108891258095,0.4141470533442388,9.40942734600926,0.5032302959162571,0.035889970628302126,-1.7966313775857925,-0.07907703238587988
2,Level 2,,Split-NN,"(2, 'donovan', 20)",0.5401760972419203,5.692674775747047,0.19653792018451435,8.329470959773923,0.5523736907804482,0.0524145636733202,0.1562820520047481,0.0036875510595471284
2,Level 1,,Split-NN,"(2, 'donovan', 20)",0.5461032391623807,5.755138278806803,0.20732130753660105,8.786481554537897,4.6299303865876,0.4393326204728537,0.6105879447296978,0.014407119650990313
26,Level 1,,Split-NN,"(4, 'shafter', 20)",0.3621030230132108,4.494496229006464,0.3047697200099099,6.079479424510709,5.056819478955803,0.40740708788329755,7.780091277859097,0.39002290736356804
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.4085869829419671,6.521598825957757,0.3722820716551523,8.392551443551449,-0.16127183647434595,-0.010103898577184744,-1.5078569620379083,-0.06688646681080967
25,Level 1,,Split-NN,"(4, 'shafter', 18)",0.5934049426776401,7.3524492405001665,0.3514757247356018,7.048512935079475,0.14441896764374373,0.011655834187081049,3.3683543243263125,0.16796376600471402
3,Level 1,,Split-NN,"(2, 'elcajon', 17)",0.4951049911040557,5.568799824395347,0.3203700375399056,12.398756696270196,2.167045079176395,0.19266536210326302,0.457345236838675,0.011817290578721995
18,Level 1,,Split-NN,"(4, 'donovan', 17)",0.7236990435130395,5.806520980701113,0.3501628054914379,12.700056840104669,4.935413063029963,0.6151280129578163,10.842865679812395,0.2989567931712222
10,Level 1,,Split-NN,"(3, 'donovan', 12)",0.5146965574995009,6.185672850706498,0.3666215590432071,10.934757614657157,-0.40419535905161563,-0.03363222803439736,-2.1116693683462984,-0.07080024480553404
22,Level 1,,Split-NN,"(4, 'elcajon', 12)",0.2950160865871443,5.701735773747762,0.43344967684867625,7.749868578934697,-0.5027542688038045,-0.02601323575539677,-0.8454659973448706,-0.047286861654891765
8,Level 2,,Split-NN,"(2, 'shafter', 13)",0.3820370768680132,5.15656005608002,0.3252109113062245,10.305806256816288,0.46850375344772743,0.03471031123894752,1.0047975890788017,0.03170747940332064
16,Level 1,,Split-NN,"(3, 'shafter', 19)",0.28223519092355803,3.9573534377440183,0.2599310724185946,5.905637915670713,1.9953877472980484,0.1423094122586736,1.707158052752754,0.07513894853976433
19,Level 1,,Split-NN,"(4, 'donovan', 19)",0.4828883422155036,3.990182617254424,0.20170240623095656,7.181077480316162,1.917243641797016,0.232023115886263,3.6343270261461704,0.1020811303336063
25,Level 2,,Split-NN,"(4, 'shafter', 18)",0.30797959851058426,3.8159513045862874,0.24904544478861398,4.994370636366622,1.060375982598297,0.08558132515957145,2.848907546250371,0.14206143249587214
4,Level 1,,Split-NN,"(2, 'elcajon', 19)",0.3162795529090873,3.5573924857525934,0.19271457679752524,7.431036681954508,1.2606756301071145,0.11208375973428936,1.9406470420425581,0.05032823674909298
19,Level 1,,Split-NN,"(4, 'donovan', 19)",0.5033345281529409,4.159132680000617,0.2395329036787837,8.5279316818505,1.7482935790508227,0.2115769299488257,2.2874728246118323,0.06425063288577917
6,Level 1,,Split-NN,"(2, 'shafter', 11)",0.40142060462576573,5.441549404337282,0.24965169310842275,7.864090051504459,2.7702999224944325,0.20436375510916888,-0.24534648979255547,-0.007788716326207673
21,Level 1,,Split-NN,"(4, 'elcajon', 11)",0.16554567278426818,3.1994786983400214,0.21064599407036916,3.7662475205728234,3.386223755864755,0.17520813317292733,2.1725747886812,0.1215119753957033
21,Level 2,,Split-NN,"(4, 'elcajon', 11)",0.17645804906912474,3.4103807103616077,0.2287432550710619,4.089817710805109,1.4146934758144756,0.07319829425922725,1.7529716250260279,0.0980435960498412
15,Level 1,,Split-NN,"(3, 'shafter', 17)",0.31766283076258595,4.348219469693025,0.3036224413872725,6.8600085161704145,4.849403700265447,0.3542772662865692,9.175751613986339,0.40611671254265375
18,Level 1,,Split-NN,"(4, 'donovan', 17)",0.7325998980866923,5.877936024414866,0.35565759412168263,12.89934736106828,4.8639980193162105,0.6062271583841634,10.643575158848783,0.2934620045409775
1,Level 1,,Split-NN,"(2, 'donovan', 18)",0.5964611373934107,6.257557205541838,0.18701526143939545,7.952268679194523,2.4279032838645556,0.23142416547027866,0.27104665518981363,0.006374264141152108
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.2814398742792609,4.4921596387176645,0.2574547150198505,5.803937671729858,1.8681673507657468,0.11704321008552143,1.0807568097836828,0.04794088982449213
1,Level 2,,Split-NN,"(2, 'donovan', 18)",0.5443620363733394,5.710978250850662,0.2026669972892376,8.617812270748205,0.9296031615637004,0.08860840434342987,-0.9526308360454836,-0.022403230077523123
11,Level 1,,Split-NN,"(3, 'donovan', 13)",0.6064661510223945,7.223692607102807,0.4477545453274536,13.321919844393356,0.9938198492382693,0.08343628827513483,-0.6522546495559478,-0.021922514732180487
23,Level 1,,Split-NN,"(4, 'elcajon', 13)",0.44327117078633504,8.590647832758124,0.7323160954286944,12.9623105425773,-0.8475505368492726,-0.04373299034994227,-3.385247340045863,-0.19125225444798255
22,Level 2,,Split-NN,"(4, 'elcajon', 12)",0.29269951893824764,5.656963785925604,0.28793313036789664,5.148103780110789,-0.673142051801646,-0.03482934701290624,0.8687353812701302,0.04858831687831161
11,Level 2,,Split-NN,"(3, 'donovan', 13)",0.390484598142116,4.651109876505794,0.2584517734378509,7.689645689386267,3.1389521336558106,0.26353117751300237,5.152847072101932,0.1731890541949111
0,Level 1,,Split-NN,"(2, 'donovan', 15)",0.5230085400178875,5.569655521464533,0.19825216309272573,8.523109606614922,1.9277920353374807,0.18102586308512836,2.441403657639361,0.05678837636135106
24,Level 1,,Split-NN,"(4, 'shafter', 15)",0.605374263370695,7.557177722907201,0.5554154143180742,10.91967489943089,1.6710031556134473,0.13385715428569378,7.783464595703203,0.3958960548796068
17,Level 1,,Split-NN,"(3, 'shafter', 21)",0.2797403873184702,3.829131018185535,0.3079722818153248,6.958288281803287,6.263197876863227,0.45756318903816784,4.733858342072549,0.2095195105973346
20,Level 1,,Split-NN,"(4, 'donovan', 21)",0.4248502346586556,3.4087398944542424,0.2259713037288485,8.195754536411219,7.59705510146258,0.9468632815962834,10.027857689885177,0.2764855957707781
8,Level 1,,Split-NN,"(2, 'shafter', 13)",0.4369794512045704,5.8981468549654235,0.35409953011839296,11.221275259099816,0.15284710211653518,0.011324072533878016,0.4958798272149547,0.01564802660638881
11,Level 1,,Split-NN,"(3, 'donovan', 13)",0.4095763542768466,4.878514122257294,0.2462249673269535,7.325864835206008,3.338998334083782,0.2803260850206828,5.343800359631401,0.17960706326831963
0,Level 2,,Split-NN,"(2, 'donovan', 15)",0.5140592505598576,5.474352183891123,0.1934232026089552,8.31550652755072,0.7969754648362244,0.07483855557811359,6.964598908645941,0.1620003569636925
12,Level 1,,Split-NN,"(3, 'elcajon', 15)",0.32782880402556136,5.232748542593832,0.5693944395373727,12.795036827243075,2.764585917600961,0.17319977973636402,-1.9540412101381097,-0.08695717055776953
24,Level 1,,Split-NN,"(4, 'shafter', 15)",0.565999239530442,7.065640386404526,0.7128187052149948,14.014282503732286,2.162540492116122,0.17323217812594682,4.688856991401806,0.23849276398268615
19,Level 2,,Split-NN,"(4, 'donovan', 19)",0.5245557065897603,4.33448662813644,0.2458657563594261,8.753396050971851,1.205624381482088,0.1459035875678959,-0.0060891320678599925,-0.00017103179756958187
