,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",5.2275146092997975,6.936562401690762,0.4921373685039295,0.1615587953072873,0.45120204128008495,77.55846015094235,0.41198662727021385,8.79516212884247,8.80672811837304,1.5870369093409782,92.59342333931653,0.6818383521068693,9.490771156290862,9.622547653262961
0,"(2, 'donovan', 18)",5.089562494826304,6.360693425423641,0.4896098735879961,0.1492958542558947,1.2139577780955781,79.77972870660534,0.3851210431907054,8.849069737320054,8.931949882674294,0.9971562328862764,79.99276548366649,0.7249645515871166,8.8881069350699,8.943867479097982
1,"(2, 'donovan', 20)",5.233007769617769,7.173560216794526,0.5039820677899668,0.16823276266210252,0.10027445495927928,76.87156045769558,0.4088808155410566,8.76706937722041,8.76764281079559,1.246856189265105,95.60770500333949,0.6716039632714066,9.698095415935446,9.77791925735427
3,"(2, 'elcajon', 17)",2.493239296649043,4.635859767477322,0.22146565337189625,0.12154580631125916,-0.04693495703548563,11.833211563267431,0.8169360293671148,3.4396233345025133,3.43994354070927,0.04776624146153628,36.9591288670238,0.9130260879929333,6.079214362870005,6.079402015578818
4,"(2, 'elcajon', 19)",2.554559558388056,5.565132597605773,0.22696324767247641,0.14578056491833313,0.11481674211154491,13.88439356449741,0.7849059600082486,3.724407430871021,3.7261768026352975,-0.0345129740819942,54.51970424509547,0.8716409376888288,7.383665290688942,7.383745949387443
5,"(2, 'elcajon', 21)",2.443376106664077,4.411044833520952,0.21756950170106082,0.11558094566615526,0.16196791142369776,11.90808988050778,0.8153114588794921,3.447006857838455,3.4508100325152324,0.02213695683127175,35.65768981117092,0.9160049034519617,5.971364984753726,5.971406016272124
6,"(2, 'shafter', 11)",4.993041405405376,7.789433729206463,0.3719179677172857,0.24687379064459955,-0.6497444481746902,47.99891576952449,0.43149573820815423,6.897590027010699,6.928124982239025,-0.07539619338316655,109.46485257679048,0.793984199936503,10.4622735612738,10.462545224599532
7,"(2, 'shafter', 12)",5.122226881501173,10.063339541943666,0.38106550278646567,0.31823695060999535,0.5391334382956374,51.17058678001721,0.4160077655528823,7.133016329115786,7.153361921503567,1.495328745702485,180.09457747631254,0.6599850313746043,13.33636270765478,13.419932096561165
8,"(2, 'shafter', 13)",5.208330264446837,9.984151931135022,0.3840692506065733,0.3178906426427688,-0.6869382552509347,50.95667715415084,0.41115436998748744,7.105265092918478,7.138394578205301,3.5823213443915383,175.45887241952192,0.6703017681391615,12.752483921160554,13.246088948045077
9,"(3, 'donovan', 11)",3.4599267232312947,4.385924916920841,0.2917682255920174,0.1466423384856983,-0.1340804807323958,37.38814910429647,0.6922451388211006,6.113114718658849,6.114584949470935,-0.00016567955018551464,37.12332652720992,0.8231851147514623,6.092891473344451,6.092891475088812
10,"(3, 'donovan', 12)",3.188582274098556,4.771277179468307,0.26881182164693884,0.15958733264273559,0.8493356674553846,35.872099840254826,0.7057591788738127,5.928805028165343,5.989332169804479,-0.4171376423877985,42.91832052435612,0.7955412363086645,6.537913786931613,6.551207562301482
11,"(3, 'donovan', 13)",3.6079014956386772,4.906653543731961,0.30730475671527796,0.1649309496049742,0.21113943532496948,40.02443668213571,0.6745147529001818,6.322962661805708,6.326486914720974,0.41017839741424156,44.27537107441707,0.7867695782175926,6.641319503423263,6.653974081285339
